,text,target
0,"liêm trinh cung quan tại thân, cs tuần án ngữ ạk","Liêm Trinh cung Quan tại Thân, có Tuần án ngữ ạ"
1,k em ạk nhg h5 cày lscg đók em,không em ạ nhưng H5 cày lịch sử cuộc gọi đó em
2,NEK NKA SHAOOO HÔN NH ZỌ😥,NÈ NHA SAO HÔN NHIỀU VẬY 😥
3,Cay mấy cn ý,Cay mấy con ấy
4,"Zạ hà nội ạk, ở mễ trì nhé","Dạ Hà Nội ạ, ở Mễ Trì nhé"
5,cs ship tỉnh hong,có giao hàng tỉnh không
6,Bình thái 1 dì hương xem bếp Phong thuỷ / chú Khương đg 3/ tháng 2 a,Bình Thái 1 dì Hương xem bếp Phong thủy / chú Khương đường 3 Tháng 2 ạ
7,mơn b nhìuu,cảm ơn bạn nhiều
8,"Mak Fsoft thì mn đều bảo là lương thấp r. Ở HN thì tôi apply base, vht, nab camp... thì đều trên 10 ht mak","Mà FPT Software thì mọi người đều bảo là lương thấp rồi. Ở Hà Nội thì tôi apply Base, Viettel High Tech, NAB Camp... thì đều trên 10 hết mà"
9,ca nka lưu ý nhé,cả nhà lưu ý nhé
10,Em kỷ sửu ah?,Em Kỷ Sửu à?
11,T dzừa bị 🐕🦷 m4.,Tôi vừa bị chó cắn mùng 4.
12,Ta ns sống vội theo TongTai ko ah bà🤭,Ta nói sống vội theo Tống Tài không à bà🤭
13,Tại mn thấy TongTai sd nên cheap moment vs TongTai thui em🤭,Tại mọi người thấy Tống Tài sử dụng nên cheap moment với Tống Tài thôi em🤭
14,Sáng h toàn khôi và huy,Sáng giờ toàn Khôi và Huy
15,vừa khók dzừa học,Vừa khóc vừa học
16,Mang cho sài kê zới 😋,Mang cho xài ké với 😋
17,k bt n cs về nhà hay lên cic nậu sớ k ạk ?,không biết nó có về nhà hay lên CIC nợ xấu không ạ ?
18,Xin jb ạk,Xin job ạ
19,null vs cả foolish ko chửi khách là 10 điểm !,Null với cả Foolish không chửi khách là 10 điểm !
20,Tui ở vinhome q9 as,Tui ở Vinhomes Quận 9 á
21,Côn gái iuuu,Con gái yêu
22,Mh gần để ny hp !,Mình cần để người yêu hạnh phúc !
23,mih cx thử màk s chỉ vay đc monevoe,mình cũng thử mà sao chỉ vay được Moneveo
24,Này còn hợp lí hơn:))))(),Này còn hợp lý hơn :))))
25,nhà nội mik gốc họ nguyễn( gốc thuận thành,nhà nội mình gốc họ Nguyễn ( gốc Thuận Thành
26,Chòi oi xao đún vế cuối qá z =))))),Trời ơi sao đúng vế cuối quá vậy =)))))
27,theo dòng thời sự bóc ny của tuyển thủ choi u chê,theo dòng thời sự bóc người yêu của tuyển thủ Choi Woo-je
28,"Mãi iuu , gửi tặng cốt cái voucher 50K.","Mãi yêu, gửi tặng cốt cái voucher 50.000."
29,mik có gimlinh r đók b ơi,mình có ghim link rồi đó bạn ơi
30,Ms rep ins mik nka 😍,Miss reply instagram mình nha 😍
31,cái kiểu kảm ơn như kthuc thiệt d ba ơi😭,cái kiểu cảm ơn như kết thúc thật vậy bà ơi 😭
32,mí hsau bị tuýp còi và sau ds trộm vía ik đg an toàn nhg mò sót ví lứm í🥹,mấy hôm sau bị tuýt còi và sau đó trộm vía đi đường an toàn nhưng mà xót ví lắm ý🥹
33,Ở Bắc nhập đâu ạk,Ở miền Bắc nhập đâu ạ?
34,tht nka chời:))))) nãy h đọc màk đa kảm xúc,Thật nha trời :))))) nãy giờ đọc mà đa cảm xúc
35,Túi của rhy còn ko ạk,Túi của Rhyder còn không ạ
36,vuýt lun 🫰,vip luôn 🫰
37,Xem bói đà nẵng,Xem bói Đà Nẵng
38,yáyyy mơ cug rất thík ớ,yay mơ cũng rất thích á
39,Đỗ nam sơn,Đỗ Nam Sơn
40,Ms rep ins của mìnk nka 😍,Miss reply Instagram của mình nha 😍
41,ok cùng gây lun,ok cùng gay luôn
42,"Mần ik, lm ở úc cs xiền đã","Làm đi, làm ở Úc có tiền đã"
43,Xin día ik tyyy 😍,Xin vía đi tình yêu ơi 😍
44,s PSHN lại đắt hơn PSTW nhỉ,sao Phụ sản Hà Nội lại đắt hơn Phụ sản Trung Ương nhỉ
45,ny D hnhu đóng trg phim sweet home 3 as,người yêu Deft hình như đóng trong phim Sweet Home 3 á
46,Cô ngậm ngùi cau đắng,Cô ngậm ngùi cay đắng
47,GE lại kiểu ng thú vị bí ẩn lm SI tò mò nên chắc kéo đẩy nhau xem sẽ cháy lắm.,Goeun lại kiểu người thú vị bí ẩn làm Seungil tò mò nên chắc kéo đẩy nhau xem sẽ cháy lắm.
48,Đất cs hơn 100m2 khu thủ thiêm.,Đất có hơn 100 mét vuông khu Thủ Thiêm.
49,- bn zaiiii em đâu r?,bạn trai em đâu rồi?
50,lá số em cs liêm trinh-thiên tướng ở phụ mẫu tại ngọ thì cần chú ý sức khoẻ bm đk ạk?,lá số em có Liêm Trinh-Thiên Tướng ở Phụ Mẫu tại Ngọ thì cần chú ý sức khỏe bố mẹ đúng không ạ?
51,MÁ T LẠY M🪷🪷,MÁ TAO LẠY MÀY🪷🪷
52,Hẹ hẹ hẹ hẹ 👏🏻👏🏻👏🏻 sốp xịn qá,Hehe hehe 👏🏻👏🏻👏🏻 shop xịn quá
53,Mik 1 slot nga,Mình 1 slot nha
54,Sr toai là ng ik trap 💁🏻‍♀️ Nữ BC nhé =))),Xin lỗi tôi là người đi trap 💁🏻‍♀️ Nữ Bọ Cạp nhé =)))
55,cái nc qq j 80% là chín trị,cái nước quần què gì 80% là chính trị
56,Day8 Bí1 fibi của t đây.,Day 8 Bí 1 freebie của tôi đây.
57,"Thêm nhạc nhà Tinh hoa như Gene x CKGMDT, Nét, Superstar full Cá Lớn ik ạk","Thêm nhạc nhà Tinh hoa như Gene x Chẳng Khác Gì Một Đứa Trẻ, Nét, Superstar full Cá Lớn đi ạ"
58,Momo vs nh thì ko xoay mak trả,MoMo với ngân hàng thì không xoay mà trả
59,é hée kảm ơn nànggg,é hế cảm ơn nàng
60,"Vì VAYVND, là app tindungden hoạt động trái phép","Vì VayVND, là app tín dụng đen hoạt động trái phép"
61,Cskh lĩnh vực jz ạk,Chăm sóc khách hàng lĩnh vực gì vậy ạ
62,Lời ns xuất phát từ ng aov 🐧,Lời nói xuất phát từ người Liên Quân 🐧
63,ăn gian nka ) bên hàn còn cs thánh chs dơ lee kwang soo mag zời ….,ăn gian nha ) bên Hàn còn có thánh chơi dơ Lee Kwang Soo mang trời ….
