text,target
anh cho bạn em ứng tuyển ạ,anh cho bạn em ứng tuyển ạ
Cô để cho các cháu kiếm cơm 😂,Cô để cho các cháu kiếm cơm 😂
nếu ra trg muộn vấn là sv,nếu ra trường muộn vẫn là sinh viên
e 2k7 svien ngành sư phạm ngữ văn a ơiii,em 2k7 sinh viên ngành sư phạm ngữ văn anh ơi
"Bạn em .03 làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ","Bạn em .03 làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
Em biết làm hết việc nhà ạ em đang có ý định học thêm 1 chuyên ngành nữa,Em biết làm hết việc nhà ạ em đang có ý định học thêm 1 chuyên ngành nữa
anh nuôi nổi em lên thsi (8 năm đi học) thì ib em nhé,anh nuôi nổi em lên thạc sĩ (8 năm đi học) thì ib em nhé
bọn em ạ,bọn em ạ
"Chị 95, sinh viên năm 10 đại học tư bản ứng cử, nghiêm túc","Chị 95, sinh viên năm 10 đại học tư bản ứng cử, nghiêm túc"
Đủ điều kiện thế thì cứ xếp hàng thôi =))),Đủ điều kiện thế thì cứ xếp hàng thôi =)))
"làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ","làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
em cựu sv có được không ạ 🙌🏻,em cựu sinh viên có được không ạ 🙌🏻
Đuổi n thì n đi luôn shop ạ nên muốn nch nhẹ nhàng để cno bảo ban nhau cho e mình n tập chung làm ăn,Đuổi nó thì nó đi luôn shop ạ nên muốn nói chuyện nhẹ nhàng để chúng nó bảo ban nhau cho em mình nó tập trung làm ăn
bé kia thì phải học hành cho xong,bé kia thì phải học hành cho xong
Cửa ko có khoá hả?,Cửa không có khoá hả?
Nói thẳng với thằng e trai là nếu thấy nó dẫn con vớ vẩn đó về lần nữa thì cút xéo,Nói thẳng với thằng em trai là nếu thấy nó dẫn con vớ vẩn đó về lần nữa thì cút xéo
và khoá cửa luôn khi đi ra ngoài đi em,và khoá cửa luôn khi đi ra ngoài đi em
"Đánh chìa cả nhà, trừ e trai e ra đc mà bé","Đánh chìa cả nhà, trừ em trai em ra được mà bé"
E gái mình có mắng 2 đứa n rồi nhưng vẫn vậy,Em gái mình có mắng 2 đứa nó rồi nhưng vẫn vậy
cắt tiền chi tiêu của em bạn,cắt tiền chi tiêu của em bạn
gọi công an xuống khai báo có người đột nhập phi pháp để có địa chỉ nhà nhỏ đó rồi trả về nơi sản xuất.,gọi công an xuống khai báo có người đột nhập phi pháp để có địa chỉ nhà nhỏ đó rồi trả về nơi sản xuất.
Để lâu nó gài có bầu còn khó giải quyết hơn.,Để lâu nó gài có bầu còn khó giải quyết hơn.
Bme mình k cho tiền tiêu linh tinh,Bố mẹ mình không cho tiền tiêu linh tinh
chỉ cuối tuần bé kia đi học về thì có xin mẹ mình tiền đi ăn với bạn 2 300 thì vẫn ok nhưng nếu đi ăn uống yêu đương bt thì sẽ k có chuyện gì xảy ra,chỉ cuối tuần bé kia đi học về thì có xin mẹ mình tiền đi ăn với bạn 2 300 thì vẫn ok nhưng nếu đi ăn uống yêu đương bình thường thì sẽ không có chuyện gì xảy ra
Ngày trước nhà e mới xây nhà xong nên cửa chưa thể khoá được,Ngày trước nhà em mới xây nhà xong nên cửa chưa thể khoá được
trong ngõ nhà e lúc nào cũng có người và an ninh khá đảm bảo nên k có khoá cửa.,trong ngõ nhà em lúc nào cũng có người và an ninh khá đảm bảo nên không có khoá cửa.
Giờ thì khoá cửa rồi nhưng e trai e biết chỗ để chía khoá nên vẫn vào được,Giờ thì khoá cửa rồi nhưng em trai em biết chỗ để chìa khoá nên vẫn vào được
"Nhà chị là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa nó từ lâu rồi.","Nhà chị là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa nó từ lâu rồi."
"Hoặc là khoá cửa nhốt chúng nó trong phòng cả ngày, ko cho ra ngoài uống nước ăn uống tắm rửa.","Hoặc là khoá cửa nhốt chúng nó trong phòng cả ngày, không cho ra ngoài uống nước ăn uống tắm rửa."
"Nấu cơm thì cắt phần 2 đứa nó đi, cái tội đưa con ny về và chỉ ru rú trong phòng","Nấu cơm thì cắt phần 2 đứa nó đi, cái tội đưa con ny về và chỉ ru rú trong phòng"
Đuổi con ranh kia k đc thì nhà mình đuổi cả 2 cno nha,Đuổi con ranh kia không được thì nhà mình đuổi cả 2 chúng nó nha
đến lúc k có nhà thì em bạn tự biết chọn gia đình hay chọn gái ý mà,đến lúc không có nhà thì em bạn tự biết chọn gia đình hay chọn gái ý mà
hét hét ảnh bảo con gái không ai như vậy t cũng gửi lời xin lỗi rồi nhưng mà có vẻ ảnh không quan tâm,hét hét anh bảo con gái không ai như vậy tớ cũng gửi lời xin lỗi rồi nhưng mà có vẻ anh không quan tâm
rồi ảnh còn đang tìm cách làm thế nào để t k thích ảnh nữa cơ huhu chỉ t cách với thật sự t thích ảnh nhiều lắm,rồi anh còn đang tìm cách làm thế nào để tớ không thích anh nữa cơ huhu chỉ tớ cách với thật sự tớ thích anh nhiều lắm
hơn 2 năm rồi ảnh cũng sắp lên cấp 3 nữa cũng khá nhiều người để ý t không muốn mất ảnh đâuu cứu t cộng đồng Threads ơi😭,hơn 2 năm rồi anh cũng sắp lên cấp 3 nữa cũng khá nhiều người để ý tớ không muốn mất anh đâu cứu tớ cộng đồng Threads ơi😭
Mọi người thử kể chuyện tình đơn phương/ tình yêu tuổi học trò của mn đi Tôi tò mò muốn nghe!,Mọi người thử kể chuyện tình đơn phương/ tình yêu tuổi học trò của mọi người đi Tôi tò mò muốn nghe!
TÔI NHỚ ĐC MẶT MÁC TIN RỒI?,TÔI NHỚ ĐƯỢC MẶT MÁC TIN RỒI?
"vô cmt chủ tus toàn bị fan martin, fan james lừa.","vô cmt chủ tus toàn bị fan martin, fan james lừa."
Cười vl =))))),Cười vl =)))))
"Thì như ông t, đánh vợ đập con chửi cháu còn đi khoe như thể chiến tích mặc dù người nghe họ tởm ra mặt","Thì như ông tôi, đánh vợ đập con chửi cháu còn đi khoe như thể chiến tích mặc dù người nghe họ tởm ra mặt"
bố mình cx thế tưởng làm theo ý ổng là ngầu là oai nhưng mình với mẹ vẫn luôn bậc lại .,bố mình cũng thế tưởng làm theo ý ổng là ngầu là oai nhưng mình với mẹ vẫn luôn bật lại .
Mình muốn mẹ giải thoát nhưng chị và anh mình lại không muốn gđ tan rã 🙄 thấy mệt mỏi thật,Mình muốn mẹ giải thoát nhưng chị và anh mình lại không muốn gia đình tan rã 🙄 thấy mệt mỏi thật
"It's time to change 👍 thế kỷ 21, trục giá trị thay đổi.","It's time to change 👍 thế kỷ 21, trục giá trị thay đổi."
Chúng ta không còn cần một gia đình có đàn ông gia trưởng nữa,Chúng ta không còn cần một gia đình có đàn ông gia trưởng nữa
