raw_text,teencode_ratio
anh cho bạn em ứng tuyển ạ,0.0
Muốn nuôi một bé sinh viên Mình 98 ở Hà Nội đang kinh doanh Nghiêm túc nhé ai có nhu cầu ib,0.0
Cô để cho các cháu kiếm cơm 😂,0.0
"Bạn em .03 làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ",0.0
Em biết làm hết việc nhà ạ em đang có ý định học thêm 1 chuyên ngành nữa,0.0
anh nuôi nổi em lên thsi (8 năm đi học) thì ib em nhé,0.0
bọn em ạ,0.0
"Chị 95, sinh viên năm 10 đại học tư bản ứng cử, nghiêm túc",0.0
Đủ điều kiện thế thì cứ xếp hàng thôi =))),0.0
"làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ",0.0
em cựu sv có được không ạ 🙌🏻,0.0
bé kia thì phải học hành cho xong,0.0
Nói thẳng với thằng e trai là nếu thấy nó dẫn con vớ vẩn đó về lần nữa thì cút xéo,0.0
và khoá cửa luôn khi đi ra ngoài đi em,0.0
cắt tiền chi tiêu của em bạn,0.0
gọi công an xuống khai báo có người đột nhập phi pháp để có địa chỉ nhà nhỏ đó rồi trả về nơi sản xuất.,0.0
Để lâu nó gài có bầu còn khó giải quyết hơn.,0.0
Ngày trước nhà e mới xây nhà xong nên cửa chưa thể khoá được,0.0
Giờ thì khoá cửa rồi nhưng e trai e biết chỗ để chía khoá nên vẫn vào được,0.0
"Nhà chị là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa nó từ lâu rồi.",0.0
"Nấu cơm thì cắt phần 2 đứa nó đi, cái tội đưa con ny về và chỉ ru rú trong phòng",0.0
"vô cmt chủ tus toàn bị fan martin, fan james lừa.",0.0
Cười vl =))))),0.0
"It's time to change 👍 thế kỷ 21, trục giá trị thay đổi.",0.0
Chúng ta không còn cần một gia đình có đàn ông gia trưởng nữa,0.0
"đồng cảm, thương 🫂",0.0
còn bác 2 với bố tui siêu gia trưởng luôn,0.0
"gắng đến lúc đi học,đi làm để thoát khỏi căn nhà ấy thoii",0.0
cực kì ghét,0.0
yeah đá vía có bố gia trưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰,0.0
"giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền",0.0
thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nha là mấy ổng sẽ tự cho rằng vị trí của mình đang bị lung lay,0.0
đối phương đang đe dọa và nổi khùng lên,0.0
"Cái này là may nhưng trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mình chuyện môn chọc con mèo ở nhà.",0.0
"Cứ lấy đuôi nó cho vào ống chỉ, bữa đó nó khùng lên quay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là vô con mắt rồi.",0.0
Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nữa là thành cướp biển vùng Caribbean rồi 🤣,0.0
"1 case là vừa bị lay off, 1 case là vì chán.",0.0
Cả hai đều đang expect mức lương 18-20tr.,0.0
Ngành thì nhỏ nên dễ dàng biết mức lương hiện tại của các bạn thấp hơn rất nhiều ↓,0.0
"""Cứ deal lương cao như mức em muốn đi, điều tệ nhất có thể là gì nhỉ?""",0.0
Em chỉ có thể an toàn nếu em trung lập.”,0.0
cười vl con vợ,0.0
"2k2, 2k3 đi làm ĐÒI LƯƠNG 18 - 20tr là có BỊ ẢO không?",0.0
Hôm rồi khi lướt Threads,0.0
cả hai đều mới tốt nghiệp có kinh nghiệm trainee 3 tháng đi làm công ty kinh nghiệm dưới 6 tháng và muốn nhảy.,0.0
Đm điều tệ nhất là đăng lên threads ạ,0.0
hãm vị mom,0.0
nên cũng chả biết cảm giấc ấy như thế nào,0.0
thật ra khóc mà càng bị mắng là vì họ muốn phủ định cảm xúc của bạn thoi.,0.0
Khóc xong thầy thương quá cho 10đ😛,0.0
TOPIC: HÃY KỂ RA 1 LẦN CHÚNG MÀY THẤY KHÓC ĐÚNG LÚC ĐÚNG THỜI ĐIỂM LẠI CÓ TÁC DỤNG SIÊU PEAK ĐI,0.0
Đa số là vô nghĩa luôn á bác=)))) Càng khót càng bị mắng mà lúc nín xong nghĩ lại thấy quê vl💔,0.0
Chứ biết thừa luôn,0.0
:))) ý là cả kể chị e chúng toi có giận thì cũng chỉ tại thời điểm đấy thôi chứ nói dối thế sau mà chúng toi phát hiện ra thì chuyện lúc đấy là to rồi nha :))),0.0
"Được rồi, tôi đã đăng lại.",0.0
Xin đừng nói nữa 😭,0.0
nó sợ bị phát hiện nên mới biện minh như thế thôi =))),0.0
Ê bà này nói đúng ý tui :)))),0.0
cái giống gì cũng biết 🤡,0.0
mới lỡ chiều nay,0.0
"MOI HẾT RUỘT GAN RA ĐỂ KỂ VÌ NGHĨ LÀ BẠN THÂN, ĐÃ HỐI HẬN🙌🏻",0.0
kể hết cuộc đời rồi giờ sao,0.0
"thề sai lầm vcl 🙏🏻 chơi thân gần 3 năm,tin tưởng mới dám kể :) ai ngờ nó chơi cho 1 vố nhớ đời",0.0
Siêu nhẹ nhành và ngọt ngào cấp 3 + đại học nắng mưa đều đưa đi rước về nhậu say anh đón,0.0
tết vừa rồi nhập viện từ 29 đến m4 anh trông miết lúc nào cũng Anh đây .,0.0
"các em gái đang iu tranh thủ ""củ hành"" vào nhé, lấy về lười chảy thây ra đấy 😆",0.0
đọc cmt mới biết phải cho bản thân thời gian vì những điều tốt đẹp thường đến muộn,0.0
Kể về 1 hành động mà bạn thấy siêu soft đến từ ny✅,0.0
"Khổ thân quá, giờ cuộc sống E ổn chưa??",0.0
Trải qua từng ấy chuyện nhưng bạn vẫn là một người tử tế thì rất đáng quý trọng,0.0
dạ con cảm ơn cô!,0.0
Chúc em mọi điều tốt đẹp trong cuộc sống.,0.0
"Respect bạn 🔥🔥🔥 chúc bạn năm mới nhiều sức khoẻ và bình an, hãy giữ trái tim luôn kiên cường như vậy nha 👍👍",0.0
Đúng rồi chính là toyyy :>>>,0.0
Ôm bạn một cái nhé🫶 năm mới chúc bạn nhiều sức khỏe và may mắn ạ🥰,0.0
Khoảnh khắc tất cả mọi thứ tồi tệ đến cùng 1 lúc,0.0
Là mình của tháng 3 năm ấy.,0.0
Nhìn lại vẫn thấy hoài niệm.,0.0
Chính mình của khoảnh khắc đó quyết tâm thay đổi để có mình của bây giờ.,0.0
"Không có tiền, tới tháng không mua được băng vệ sinh, chỉ biết nằm lót áo dưới mông cho máu chảy.",0.0
"15 tuổi bỏ nhà đi, 39kg chạy bàn quán nhậu phải xách két bia, thùng lắc xê cho khách.",0.0
"Tháng đầu chưa có lương chật vật ăn ngủ tắm rửa ở quán net, hết tiền đi net thì ngủ bụi ngoài đường.",0.0
Vào làm được hai tuần thì quán cho ngủ lại trên gác của một cái phòng bé xíu không có nhà tắm,0.0
phải tắm trong nhà vệ sinh bằng vòi xịt.,0.0
(1) Kể về khoảnh khắc khó khăn nhất cuộc đời bạn?,0.0
Đúng nha 😭,0.0
Khi bạn định làm một điều gì đó mà có rất nhiều thứ khách quan chen ngang vào thì bạn không nên làm điều đó nữa,0.0
Thay vì nói xin lỗi vì đã làm phiền thì thay bằng cảm ơn vì đã lắng nghe.,0.0
"Chỉ nói điều tích cực, nếu không thì im lặng.",0.0
Nên cảm ơn người đã giúp đỡ mình bằng cách mời họ đi ăn tặng món quà nhỏ hoặc giúp lại họ khi có cơ hội,0.0
Đến đúng giờ là trễ.,0.0
Còn mấy cái này ai EQ cao biết hết,0.0
"Mình hiểu, ranh giới cảnh báo đó đôi khi mỏng manh lắm!",0.0
"Đôi khi không tin, quá vội… giá sẽ trả khá đắt!",0.0
hãy tạm ngưng & rà soát lại mọi thứ.,0.0
Followers của Khoa LC Car chắc chắn đẹp trai,0.0
Hãy kể về những quy tắc “ngầm” trong xã hội mà các bạn cần phải biết và chú ý.,0.0
Đừng chạm vào vai người khác khi chuẩn bị bước vào sự kiện quan trọng như kỳ thi hay phỏng vấn xin việc,0.0
"Quan điểm cá nhân, bạn nào còn “non” mới ra trường thì nên hạn chế tiếp xúc người Bắc.",0.0
KHÔNG ĐƯỢC DẮT BẠN THÂN GẶP NGƯỜI YÊU :))) 1.,0.0
KHÔNG ĐƯỢC 2.,0.0
KHÔNG ĐƯỢCCC 3.,0.0
Thô nhưng thật.,0.0
Qui tắc ngầm thật sự là những qui tắc làm việc với cq các bé ơi.,0.0
"Và mấy cái đó thì phải trả bằng năm tháng, tiền bạc và thời gian, sức khoẻ mới may ra được người giỏi truyền thụ.",0.0
"Trừ khi người khác nói cho , còn đã mượn tiền thì phải trả đúng hạn, đúng số tiền.",0.0
Con phanh cứ ltinh,0.0
hình như chúng ta chung hoàn cảnh😭,0.0
ê 3 tháng bạn ấy đã phải trãi qua những gì nhờ😭,0.0
chính là khoảnh khắc nhận ra đã mất họ,0.0
thích đến cái mức ngồi tâm sự với con chat gpt... khóc lóc kể lể các thứ ngại vl=)))),0.0
Topic: Hãy kể khoảng khắc rằng bạn nhận ra mình đã thích người ta nhiều hơn mình nghĩ,0.0
đó là khi mình chịu mệt mỏi từ trường đến nhà và đến tối thì chỉ mong được chơi game cùng nhóm bạn và có cả bạn ấy.,0.0
Lúc đó mình nhận ra à mình thích bạn ấy thật rồi,0.0
bởi vì mỗi lần chơi game anh ấy để take care mình và trêu mình để làm mình vui.,0.0
Và đó là anh nic siêu đặc biệt của mình,0.0
"Tớ thắc mắc sao cậu lại hỏi câu này, lý do vì sao vậy🥹",0.0
Mình thắc mắc cái này.,0.0
Vì đối với mình điện thoại giống như 1 cuốn nhật ký cá nhân có hình ảnh/video có sở thích những tâm tư,0.0
những bí mật không muốn tiết lộ cho bất kỳ ai kể cả là người thân.,0.0
:)) iphone phá khoá có tự out tài khoản icloud hay hình ảnh có tự xoá gì không nhỉ,0.0
Mình cảm ơn nhìu ạ,0.0
Giống nhau quá ba mình mất cũng 1 tháng hơn,0.0
điện thoại của ông ấy mình đang giữ và chỉ gắn acc ytb vào để nghe nhạc khi chơi game thoi,0.0
còn lại mình vẫn giữ nguyên trạng như ngày ba còn sống thi thoảng vô nhóm gia đình seen tin nhắn :))),0.0
Đi chùa bị cào cáo đái lên mũ💔,0.0
"Nạng tội hay mô mỡ nó đó bạn, mình tra gg nên mình cment :))",0.0
"đạp trúng con gián = chân trần, đ biết là trứng hay cức nó phọt ra nữa nhưng trắng trắng và nhớt lắm.",0.0
"Cánh với râu gián nó dính chặt vào chân phải chùi mạnh mới rớt ra, có lúc nhúc giòi bò lên phía trên đùi nữa :)",0.0
Mong con cào cào sớm siêu độ😇,0.0
Đọc comment post này,0.0
Tự nhiên nhớ ông nội quá.,0.0
Giờ biết suy nghĩ hơn thì ông đã đi được chục năm rồi,0.0
340K views • 13K likes | Reel by Học Bá Mẫu Giáo,0.0
còn lại là chịu thua vợ.,0.0
Mãi đến lúc ông chưa bị bệnh mình vẫn thấy ông chuẩn bị nước tắm cho bà.,0.0
Các con mà to tiếng với bà là ông mắng ngay.,0.0
Thật sự ngưỡng mộ tình yêu của ông bà ta ngày xưa,0.0
chuyện tình oba nội mình cũng cute lắm.,0.0
Biết ơn lắm lắm.,0.0
Có thể là đã cứu 1 mạng người luôn ấy.,0.0
Thú thật là tao thấy việc xóa ảnh trong thư viện cực kỳ khó khăn.,0.0
"Bất kể là chụp cái gì, cho dù là quả dưa hấu đi nữa, Tao cứ luôn có cảm giác là sẽ có lúc tao cần dùng đến nó...",0.0
Đi concert 2n dùng hết 400gb :) Sau mua tiếp 1TB trên onedrive,0.0
tư liệu hết đấy,0.0
mình từng đọc ở đâu đó đại loại là: “nếu một người trong câu chuyện của họ không nhắc đến ba hoặc mẹ thì đừng hỏi gì thêm về người còn lại” share cho cả lò nhà mình để có những cuộc nói chuyện nhẹ nhàng hơn nhenn❤️,0.0
Đừng buồn nữa nhé ạ 🤗,0.0
nghỉ chơi đii bạn đéo gì hãm bỏ mẹ,0.0
nó có xu hướng ghen ghét khi thấy người khác được khen,0.0
"topic : kể một chuyện mà bạn cảm thấy có thể sợ nó tới già *khuyến khích truyện ma, càng kinh dị càng tốt",0.0
"=)) vl con vợ giỏi thế, thi lần 1 6.0 sau thpt muốn thi lần 2 mà aim tận 8😅",0.0
"dkm người đâu, trao huy chương",0.0
Em ib chị nha,0.0
chị nghe từ con số 0 ạ?,0.0
nghe từ những kênh nào vậy ạ.,0.0
chúc mừng em nhé.,0.0
siêu giỏiiiiiii trời ơi.,0.0
Chị học ở Izone nha,0.0
Sức mạnh của tri thức đấy pà ơi.,0.0
May là tri thức kéo mình ra khỏi hố lửa.,0.0
Tự hào tự hào 💅💅💅💅🎆🎆,0.0
còn ở nhà thì chị ép mình nghe tiếng anh ít nhất 2 tiếng mỗi ngày em cứ xem hết 10 phần phim friends là thấy khác biệt liền,0.0
anh ơi quen không:),0.0
Việc nhà tôi mà,0.0
ông cho tôi toạ độ đi,0.0
việc nhà ông à,0.0
312 A4 Đại học Hàng Hải Việt Nam,0.0
=))) vãi bà ơi chia tay mẹ đi,0.0
"Mỹ lên tiếng Iran đáp trả trong vài tiếng, vậy mà các bạn chỉ nói chuyện được hai hôm thôi sao :)))?!",0.0
"Cả hai nói ra bản thân cảm thấy thế nào, có thay đổi có chỉnh có sửa được không.",0.0
"Nếu không thì mới nhảy đến bước cuối chứ =)))))))) sao lại chưa giải quyết chưa nói chuyện gì mà đã cứ ""bỏ đi bà"" là sao",0.0
Tôi là con đàn bà đ có hoa trong ngày 8/3 Và còn phải tỏ ra hiểu chuyện🤗,0.0
Tìm giúp tui tí tui vào xem tiếp,0.0
tiếp di bàaaa,0.0
đấy có chg hay là pk csẻ ngay,0.0
ủa les hả,0.0
Để đây mai hóng tiếp,0.0
Em cũng không rõ vì vấn đề này lắm nhưng em đúng là đang trong tình trạng thiếu máu,0.0
Nếu do thiếu đường thật thì em cũng đang cải thiện bằng cách 2-3 ngày lại uống nước dền đỏ nấu với mía rồi ạ.,0.0
Đi kiểm tra thấy máu cũng tăng và cải thiện huyết áp.,0.0
Sao bạn phát hiện mình bị ung thư máu.,0.0
"Bạn đi khám sức khỏe định kỳ, hay đột nhiên thấy người có biểu hiện bất ổn?",0.0
Bé giỏi và kiên cường quá Chúc bé sớm vượt qua nhé,0.0
"Chúc bạn mau khỏi bệnh, fighting 💪",0.0
nằm viện theo dõi 7 ngày thì bác sĩ yêu cầu sinh thiết thì phát hiện ạ,0.0
"uhh e, e tham khảo rồi theo dõi cơ thể rồi bs sao cho phù hợp.",0.0
Chúc e luôn khỏe mạnh.,0.0
"Gửi cậu 1 cái ôm nha, cậu đã vất vả nhiều rồi.",0.0
"Mong cậu sẽ khỏe mạnh trở lại, vui vẻ, bình an.",0.0
"6 năm học Đại học + 3 năm học bs nội trú, bạn bè ra trường từ đời nào, mình vẫn đi học 🤣",0.0
Nhưng để nhận được mức lương trên đầu 4x với vị trí như vậy thì:,0.0
"Chào bác, mình làm remote về mảng nào nhỉ?",0.0
Có thể cho mình kết nối không ạ?,0.0
"Là chuỗi thời gian OT, có ngày chỉ có 3 tiếng ngủ.",0.0
không biết có chị nào có thời gian lưỡng lự như em giữa công việc và gia đình không ạ 🥹,0.0
bạn thử đến những nhà có bố mẹ gắt rồi bị quản chặt chưa =)))))))),0.0
Cái giá của tự do bao giờ cũng đáng mà bạn nhỉ :)),0.0
"Ở ké bố mẹ là sướng nhất, khỏi lo tiền trọ, khỏi lo cơm nước.",0.0
Chưa kể chi phí phát sinh khác nữa.,0.0
Người đi làm lâu năm share tips cho mấy con gà này với ạ :((,0.0
Ra ở riêng mua sự tự do thôi =)) Biết nó tốn tiền phát sinh hơn ở với bố mẹ nhưng thôi đến khi mình kiếm ra nhiều tiền thì thấy cái đánh đổi về tiền vẫn là rẻ nhất =)),0.0
trả bằng mental health bác ạ =)))))))))))),0.0
tôi đủ combo xong đi về có sao đâu nhỉ hồi 2017 lần đầu đi leo sống lưng khủng long ở tà xùa (đi từ phía nghĩa lộ,0.0
yên bái) hồi đó cứ thấy cái gì hay ho là tôi nhặt bỏ balo hết rồi mệt nằm lăn lên đá nghỉ,0.0
Tại nằm lên đá thì đau lưng,0.0
Tại sao vào rừng không được gọi tên thật và không được nằm lên đá hả các bác🤔,0.0
"Ai biết đâu, nằm trên đá 2 đêm rồi",0.0
