sentence,list
"Nhà Vua có 2 người con trai, ngài cảm thấy rất mãn nguyện.","['Nhà', 'Vua', 'có', '2', 'người', 'con', 'trai,', 'ngài', 'cảm', 'thấy', 'rất', 'mãn', 'nguyện.']"
Luôn là chuyện đó khi mà Veronica chọn ngươi chứ không phải ta.,"['Luôn', 'là', 'chuyện', 'đó', 'khi', 'mà', 'Veronica', 'chọn', 'ngươi', 'chứ', 'không', 'phải', 'ta.']"
"- Chú Vấn, ông ấy đã không còn nhận ra ai nữa.","['-', 'Chú', 'Vấn,', 'ông', 'ấy', 'đã', 'không', 'còn', 'nhận', 'ra', 'ai', 'nữa.']"
"Cháu không có sự lựa chọn, thưa chú.","['Cháu', 'không', 'có', 'sự', 'lựa', 'chọn,', 'thưa', 'chú.']"
Tại sao anh cứ phải giấu diếm cuộc tàn sát gia đình họ?,"['Tại', 'sao', 'anh', 'cứ', 'phải', 'giấu', 'diếm', 'cuộc', 'tàn', 'sát', 'gia', 'đình', 'họ?']"
Tự con sẽ giám sát việc tìm kiếm những món vũ khí đó.,"['Tự', 'con', 'sẽ', 'giám', 'sát', 'việc', 'tìm', 'kiếm', 'những', 'món', 'vũ', 'khí', 'đó.']"
- Chúng ta nên thế nà từ mấy năm trước rồi.,"['-', 'Chúng', 'ta', 'nên', 'thế', 'nà', 'từ', 'mấy', 'năm', 'trước', 'rồi.']"
- tôi đã không nói điều gì,"['-', 'tôi', 'đã', 'không', 'nói', 'điều', 'gì']"
"Cú tiếp theo là thắng, đi nào.","['Cú', 'tiếp', 'theo', 'là', 'thắng,', 'đi', 'nào.']"
Anh cảm phiền kêu cho tôi 1 ly như thế nó trong có vẻ tuyệt qua?,"['Anh', 'cảm', 'phiền', 'kêu', 'cho', 'tôi', '1', 'ly', 'như', 'thế', 'nó', 'trong', 'có', 'vẻ', 'tuyệt', 'qua?']"
"Có cần chọc mạnh dữ vầy không, Albus.","['Có', 'cần', 'chọc', 'mạnh', 'dữ', 'vầy', 'không,', 'Albus.']"
