Câu gốc,Câu chuẩn hóa
"alo m đag lmj z","xin chào mày đang làm gì vậy"
"hnay ae mik đi cf ko","hôm nay anh em mình đi cf không"
"cr m ms up avt kìa","người mình thích mày mới lên ảnh đại diện kìa"
"bả vs ổng ctay r","bạn ấy với ông ấy chia tay rồi"
"stt bả toxic vl","trạng thái bạn ấy tiêu cực vãi luyện"
"mh e ms off","mấy giờ em mới ngoại tuyến"
"thg đó fake in4","thằng đó giả mạo thông tin"
"rep ib t vs","trả lời nhắn tin tao với"
"cmt flop wa ae","bình luận mất tương tác quá anh em"
"ngta đzai wa s chịu đc","người ta đẹp trai quá sao chịu được"
"dr t cx thik bả","đúng rồi tao cũng thích bạn ấy"
"cj ms mua đth mới","chị mới mua điện thoại mới"
"t vs m unf FB đi","tao với mày hủy kết bạn Facebook đi"
"hqua t khok bùn vl","hôm qua tao khóc buồn vãi luyện"
"zạy th pp m nha","vậy thôi tạm biệt mày nha"
"mìn ms onl ig","mình mới trực tuyến Instagram"
"tk đó scam ae mxh","thằng đó lừa gạt anh em mạng xã hội"
"cno đi BV ksao đâu","chúng nó đi bệnh viện không sao đâu"
"e vs a ib xl nha","em với anh nhắn tin Zalo nha"
"m bt sđt bả ko","mày biết số điện thoại bạn ấy không"
"bthg thoi m ơi ksao","bình thường thôi mày ơi không sao"
"VD ntn t chx hỉu","ví dụ như thế nào tao chưa hiểu"
"ce mik hnay đi dạo ko","chị em mình hôm nay đi dạo không"
"sk đag qtrong wa m ạ","sự kiện đang quan trọng quá mày ạ"
"zui wa cmnm mn nha","vui quá chúc mừng năm mới mọi người nha"
"bít ròi thg đz kia","biết rồi thằng đẹp trai kia"
"đroi bả cx thik t","đúng rồi bạn ấy cũng thích tao"
"tgian trôi nhanh wa ae","thời gian trôi nhanh quá anh em"
"đag lmj z ck iu","đang làm gì vậy chồng yêu"
"kr của t là đéo đc","ý kiến riêng của tao là không được"
"otp này real vl b ơi","ghép cặp này thật vãi luyện bạn ơi"
"alo hnay ae rảnh ko","xin chào hôm nay anh em rảnh không"
"cr m ms ib t nè","người mình thích mày mới nhắn tin tao này"
"bả dth wa s t chịu nổi","bạn ấy dễ thương quá sao tao chịu nổi"
"tk đó ctay vk r","thằng đó chia tay vợ rồi"
"stt này t copy trên FB","trạng thái này tao copy trên Facebook"
"mh m ms onl z","mấy giờ mày mới trực tuyến vậy"
"thg kia fake in4 đk","thằng kia giả mạo thông tin đúng không"
"rep tin nhắn t lẹ đi bro","trả lời tin nhắn tao lẹ đi bạn"
"cmt flop wa nên t xoá r","bình luận mất tương tác quá nên tao xoá rồi"
"ngta đzai wa ae ơi","người ta đẹp trai quá anh em ơi"
"đr bả đg thik m đó","đúng rồi bạn ấy đang thích mày đó"
"cj ms up avt ms kìa","chị mới lên ảnh đại diện mới kìa"
"t vs m unf cno đi","tao với mày hủy kết bạn chúng nó đi"
"hqua t khok bùn wa","hôm qua tao khóc buồn quá"
"zạy th pp m nngon nha","vậy thôi tạm biệt mày ngủ ngon nha"
"mik ms lướt ig chx thấy","mình mới lướt Instagram chưa thấy"
"tk đó scam ae cẩn thận","thằng đó lừa gạt anh em cẩn thận"
"cno vô BV ksao r","chúng nó vô bệnh viện không sao rồi"
"e vs a call dép lào đi","em với anh call Zalo đi"
"m bt sđt bả ko cho t","mày biết số điện thoại bạn ấy không cho tao"
"bthg thoi m ơi ks j đâu","bình thường thôi mày ơi không sao gì đâu"
"VD ntn e chx hỉu lắm","ví dụ như thế nào em chưa hiểu lắm"
"ce mik hnay đi cf ko","chị em mình hôm nay đi cf không"
"sk đag qtrong m đg lmj z","sự kiện đang quan trọng mày đang làm gì vậy"
"zui wa cmnm mn nha","vui quá chúc mừng năm mới mọi người nha"
"bít ròi thg đz kia","biết rồi thằng đẹp trai kia"
"đroi bả cx nói z vs t","đúng rồi bạn ấy cũng nói vậy với tao"
"tgian trôi wa lẹ thật","thời gian trôi qua lẹ thật"
"đag lmj z ck iu của e","đang làm gì vậy chồng yêu của em"
"kr của t là khum đc nha","ý kiến riêng của tao là không được nha"
"otp này real m ơi","ghép cặp này thật mày ơi"
"same t cx thik bả","giống tao cũng thích bạn ấy"
"bả mặc bộ này slay wa","bạn ấy mặc bộ này xuất sắc quá"
"tag t vô tus đó lẹ","gắn thẻ tao vô bài viết đó lẹ"
"tcn bả up stt bùn kìa","trang cá nhân bạn ấy lên trạng thái buồn kìa"
"thg b t đzai wa ae","thằng bạn tao đẹp trai quá anh em"
"toxic wa unf bả lun đi","tiêu cực quá hủy kết bạn bạn ấy luôn đi"
"tus ms up đc nhìu tt nè","bài viết mới lên được nhiều tương tác này"
"bn iu t ko ns lẹ","bạn yêu tao không nói lẹ"
"mik eo bả wa r","mình yêu bạn ấy quá rồi"
"bh m chx đi ngủ nx","bây giờ mày chưa đi ngủ nữa"
"chx s rep ib lẹ z","chưa sao trả lời nhắn tin lẹ vậy"
"mh m ms đi v","mấy giờ mày mới đi vậy"
"thik bả bthg thoi","thích bạn ấy bình thường thôi"
"t ms mua đth ms nè","tao mới mua điện thoại mới này"
"um m acp t nha","ừm mày đồng ý tao nha"
"r j trl đi chx ngủ mà","rồi gì trả lời đi chưa ngủ mà"
"rep ib xog t off nha","trả lời nhắn tin xong tao ngoại tuyến nha"
"lmj m bùn ntn z","làm gì mày buồn như thế nào vậy"
"nnao m ns đr đi","như nào mày nói đúng rồi đi"
"đtrai z ae t mún rụng trứng","đẹp trai vậy anh em tao muốn rụng trứng"
"cr rep stt t r ae ơi","người mình thích trả lời trạng thái tao rồi anh em ơi"
"dth wa đth mua ở đâu z","dễ thương quá điện thoại mua ở đâu vậy"
"cj m đg onl đk","chị mày đang trực tuyến đúng không"
"típ nx ko bro t mệt r","tiếp nữa không bạn tao mệt rồi"
"thoai ce mik đi ăn đi","thôi chị em mình đi ăn đi"
"đag dg lmj z ms ngủ dậy à","đang đang làm gì vậy mới ngủ dậy à"
"cx mún lói ns mà ngại","cũng muốn nói nói mà ngại"
"bả said unf FB t r","bạn ấy nói hủy kết bạn Facebook tao rồi"
"tt dạo này chán wa t xoá r","Tiktok dạo này chán quá tao xoá rồi"
"dép lào fl sđt t nha","Zalo theo dõi số điện thoại tao nha"
"ytb dạo này nhìu clip slay","YouTube dạo này nhiều clip xuất sắc"
"cmt vô tus bả đi r bít","bình luận vô bài viết bạn ấy đi rồi biết"
"acc bb đg bị khoá chx mở đc","tài khoản em bé đang bị khoá chưa mở được"
"cmsn ck nha iu ck nhìu","chúc mừng sinh nhật chồng nha yêu chồng nhiều"
"SK qtrong wa m ơi giữ gìn nha","sức khỏe quan trọng quá mày ơi giữ gìn nha"
