text,target
ah cho b em ứng tuyển ạk,anh cho bạn em ứng tuyển ạ
Cô để cho các cháu kiếm cơm 😂,Cô để cho các cháu kiếm cơm 😂
nếu ra trg muộn vấn là sv,nếu ra trường muộn vẫn là sinh viên
e 2k7 svien ngành sư phạm ngữ văn a ơiii,em 2k7 sinh viên ngành sư phạm ngữ văn anh ơi
"Bn em .03 lm kế toán cty xuất nhập khẩu nhg tâm hồn sv, mong ank để ý đến bn em một chút ạk","Bạn em .03 làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
Em bjk lm ht ziệc nhà ạk em đg cs ý định hok thêm 1 chuyên ngành nx,Em biết làm hết việc nhà ạ em đang có ý định học thêm 1 chuyên ngành nữa
ah nuôi nổi em lên thsi (8 năm ik hc) thì ib em nhé,anh nuôi nổi em lên thạc sĩ (8 năm đi học) thì ib em nhé
bọn em ạk,bọn em ạ
"Cj 95, svien năm 10 đh tư bản ứng cử, nghiêm túc","Chị 95, sinh viên năm 10 đại học tư bản ứng cử, nghiêm túc"
Đủ đkien z thì cứ xếp hàng thui =))),Đủ điều kiện thế thì cứ xếp hàng thôi =)))
"lm kế toán ct xuất nhập khẩu nhg tâm hồn sv, mong ah để ý đến b em một chút ạk","làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
em cựu sv cs dko ạk 🙌🏻,em cựu sinh viên có được không ạ 🙌🏻
Đuổi n thì n ik lun shop ạk nên muốn nch nhẹ nhàng để cno bảo ban nhau cho e mk n tập chung lm ăn,Đuổi nó thì nó đi luôn shop ạ nên muốn nói chuyện nhẹ nhàng để chúng nó bảo ban nhau cho em mình nó tập trung làm ăn
bé kia thì ph hok hành cho xog,bé kia thì phải học hành cho xong
Cửa ko cs khoá hả?,Cửa không có khoá hả?
Ns thẳng vs tk e zai là nếu thấy n dẫn c vớ vẩn ds về lần nx thì cút xéo,Nói thẳng với thằng em trai là nếu thấy nó dẫn con vớ vẩn đó về lần nữa thì cút xéo
và khoá cửa lun khi ik ra ngoài ik em,và khoá cửa luôn khi đi ra ngoài đi em
"Đánh chìa cả nhà, trừ e zaiiii e ra đc màk bé","Đánh chìa cả nhà, trừ em trai em ra được mà bé"
E gái mk cs mắng 2 đứa n rùi nhưg vẫn v,Em gái mình có mắng 2 đứa nó rồi nhưng vẫn vậy
cắt tiền chi tiêu của em b,cắt tiền chi tiêu của em bạn
gọi côg an xuống khai báo cs ng đột nhập phi pháp để cs địa chỉ nhà nhỏ ds rùi trả về nơi sản xuất.,gọi công an xuống khai báo có người đột nhập phi pháp để có địa chỉ nhà nhỏ đó rồi trả về nơi sản xuất.
Để lâu n gài cs bầu còn khó giải quyết hơn.,Để lâu nó gài có bầu còn khó giải quyết hơn.
Bme mìnk k cho tiền tiêu linh tinh,Bố mẹ mình không cho tiền tiêu linh tinh
chỉ cuối tuần bé kia ik hok về thì cs xin mẹ mk tiền ik ăn vs b 2 300 thì vẫn ok nhưg nếu ik ăn uống yêu đương bt thì sẽ k cs chuyện zì xảy ra,chỉ cuối tuần bé kia đi học về thì có xin mẹ mình tiền đi ăn với bạn 2 300 thì vẫn ok nhưng nếu đi ăn uống yêu đương bình thường thì sẽ không có chuyện gì xảy ra
Ngày trc nhà e ms xây nhà xog nên cửa ch thể khoá dc,Ngày trước nhà em mới xây nhà xong nên cửa chưa thể khoá được
trg ngõ nhà e lúc nào cx cs ng và an ninh khá đảm bảo nên k cs khoá cửa.,trong ngõ nhà em lúc nào cũng có người và an ninh khá đảm bảo nên không có khoá cửa.
G thì khoá cửa r nhg e zai e bt chỗ để chía khoá nên vẫn vào dc,Giờ thì khoá cửa rồi nhưng em trai em biết chỗ để chìa khoá nên vẫn vào được
"Nhà cj là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa n từ lâu r.","Nhà chị là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa nó từ lâu rồi."
"Hoặc là khoá cửa nhốt cno trg p cả ngày, ko cho ra ngoài uống nc ăn uống tắm rửa.","Hoặc là khoá cửa nhốt chúng nó trong phòng cả ngày, không cho ra ngoài uống nước ăn uống tắm rửa."
"Nấu cơm thì cắt phần 2 đứa n ik, cái tội đưa c ny về và chỉ ru rú trg p","Nấu cơm thì cắt phần 2 đứa nó đi, cái tội đưa con ny về và chỉ ru rú trong phòng"
Đuổi c ranh kia k đc thì nhà mik đuổi cả 2 cno nka,Đuổi con ranh kia không được thì nhà mình đuổi cả 2 chúng nó nha
đến lúc k cs nhà thì em b tự bt chọn gđ hay chọn gái ý màk,đến lúc không có nhà thì em bạn tự biết chọn gia đình hay chọn gái ý mà
hét hét ảnh bảo cgái ko ai nvay t cx gửi lời xl r nma cs vẻ ảnh kh qtam,hét hét anh bảo con gái không ai như vậy tớ cũng gửi lời xin lỗi rồi nhưng mà có vẻ anh không quan tâm
r ảnh còn đg tìm cách lm tnao để t k thik ảnh nx cơ huhu chỉ t cách vs tht sự t thík ảnh nh lắm,rồi anh còn đang tìm cách làm thế nào để tớ không thích anh nữa cơ huhu chỉ tớ cách với thật sự tớ thích anh nhiều lắm
hơn 2 năm r ảnh cx sắp lên cấp 3 nx cug khá nh ng để ý t kh muốn mất ảnh đâuu cíu t cộng đồng Threads ơi😭,hơn 2 năm rồi anh cũng sắp lên cấp 3 nữa cũng khá nhiều người để ý tớ không muốn mất anh đâu cứu tớ cộng đồng Threads ơi😭
Mng thử kể chuyện tình đơn phương/ tình yêu tuổi hok trò của mn ik Tôi tò mò muốn nghe!,Mọi người thử kể chuyện tình đơn phương/ tình yêu tuổi học trò của mọi người đi Tôi tò mò muốn nghe!
TÔI NHỚ ĐC MẶT MÁC TIN R?,TÔI NHỚ ĐƯỢC MẶT MÁC TIN RỒI?
"zô cmt chủ tus toàn bị fan martin, fan james lừa.","vô cmt chủ tus toàn bị fan martin, fan james lừa."
Cười vl =))))),Cười vl =)))))
"Thì như ôg t, đánh vk đập c chửi cháu còn ik khoe như thể chiến tích mặc dù ng nghe họ tởm ra mặt","Thì như ông tôi, đánh vợ đập con chửi cháu còn đi khoe như thể chiến tích mặc dù người nghe họ tởm ra mặt"
bố mk cx z tưởng lm theo ý ổng là ngầu là oai nhg mik vs mẹ vẫn luonn bậc lại .,bố mình cũng thế tưởng làm theo ý ổng là ngầu là oai nhưng mình với mẹ vẫn luôn bật lại .
Mìnk muốn mẹ giải thoát nhg chj và ah mìnk lại ko muốn gđ tan rã 🙄 thấy mệt mỏi tht,Mình muốn mẹ giải thoát nhưng chị và anh mình lại không muốn gia đình tan rã 🙄 thấy mệt mỏi thật
"It's time to change 👍 z kỷ 21, trục giá trị thay đổi.","It's time to change 👍 thế kỷ 21, trục giá trị thay đổi."
Cta k còn cần một gđinh cs đàn ôg gia trưởng nx,Chúng ta không còn cần một gia đình có đàn ông gia trưởng nữa
"đồng kảm, thw 🫂","đồng cảm, thương 🫂"
"Chuyện hài ngày Tết: Bố tôi ik kể zới họ hàng,bạn bè,hàng xóm về ziệc ôg ấy đã tát t và r ai cx bik rằng ôg ấy gia trưởng.","Chuyện hài ngày Tết: Bố tôi đi kể với họ hàng,bạn bè,hàng xóm về việc ông ấy đã tát tôi và rồi ai cũng biết rằng ông ấy gia trưởng."
bố tui là c 3 nhưg do bác cả thì do cãi nhau zới bà nên mn cx coi như kco,bố tui là con 3 nhưng do bác cả thì do cãi nhau với bà nên mọi người cũng coi như không có
còn bác 2 with bố tui siêu gia trưởng lun,còn bác 2 với bố tui siêu gia trưởng luôn
"gắng đến lúc ik hc,đi lm để thoát khỏi căn nhà ấy thoii","gắng đến lúc đi học,đi làm để thoát khỏi căn nhà ấy thôi"
cực kì ghét,cực kì ghét
Tht sự ph ns rằng tôi rất ghét nhx ôg bô gia trưởng bởi vì tôi cx cs một ng cha gia trưởng 💔🥀,Thật sự phải nói rằng tôi rất ghét những ông bô gia trưởng bởi vì tôi cũng có một người cha gia trưởng 💔🥀
yeah đá vía cs bố gia trưởng (trưởng nam miền bắc) nhé ạk ✌️✌️🥰,yeah đá vía có bố gia trưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰
"giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền","giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền"
ai bk sau lưng ngta bàn tán j,ai biết sau lưng người ta bàn tán gì
t muốn khuyên mẹ li hôn lắm r đấy,tôi muốn khuyên mẹ li hôn lắm rồi đấy
Gia trưởng hay khoe mắng chửi zk c trc mặt ngkhac để tỏ ra mk là ng đứng trên cs uy quyền,Gia trưởng hay khoe mắng chửi vợ con trước mặt người khác để tỏ ra mình là người đứng trên có uy quyền
thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nka là mấy ổng sẽ tự cho rằng vị trí của mìnk đg bị lung lay,thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nhà là mấy ổng sẽ tự cho rằng vị trí của mình đang bị lung lay
đối phương đg đe dọa và nổi khùg lên,đối phương đang đe dọa và nổi khùng lên
"Đm thw bn vl, t đã căm thù bố t vì cái tánh ds r nhg ko ngờ còn cs nh hoàn cảnh khốn đốn hơn, đồng kảm 🫂","Đm thương bạn vl, tôi đã căm thù bố tôi vì cái tánh đó rồi nhưng không ngờ còn có nhiều hoàn cảnh khốn đốn hơn, đồng cảm 🫂"
"t từng ph uống thuốc ng.ủ (nghiêm túc, t bị bệnh và đây là thuốc kê đơn th nhe).","tôi từng phải uống thuốc ngủ (nghiêm túc, tôi bị bệnh và đây là thuốc kê đơn thôi nhe)."
T nghe lời bsi uống thử trc 2 viên/lần/ngày xg đêm hôm đók t bị s.ốc thuốc nhẹ.,Tôi nghe lời bác sĩ uống thử trước 2 viên/lần/ngày xong đêm hôm đó tôi bị sốc thuốc nhẹ.
Hên cửu huyền nhà t thấy t lượn dưới âm phủ nên túm t lại rùi đá đí.t t về vội 🙏🙏🙏🙏🙏 may là ko bị lms,Hên cửu huyền nhà tôi thấy tôi lượn dưới âm phủ nên túm tôi lại rồi đá đí.t tôi về vội 🙏🙏🙏🙏🙏 may là không bị làm sao
"Cnay là may nhưg trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mk chuyện môn chọc cn mèo ở nhà.","Cái này là may nhưng trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mình chuyên môn chọc con mèo ở nhà."
"Cứ lấy đuôi n cho vào ống chỉ, bữa đók n khùg lên qay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là dzô c mắt r.","Cứ lấy đuôi nó cho vào ống chỉ, bữa đó nó khùng lên quay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là vô con mắt rồi."
Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nx là thành cướp biển vùng Caribbean r 🤣,Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nữa là thành cướp biển vùng Caribbean rồi 🤣
chân để nổi lên mặt nc nma bị c bé đấy kéo nên t cứ chìm xuống.,chân để nổi lên mặt nước nhưng mà bị con bé đấy kéo nên tôi cứ chìm xuống.
Ê ns tht tưởng lđấy sắp chết r tại uống bnh nc thì may cs 1 nhóm mấy ô bơi ra cíu xog kéo 2 đứa vào bờ,Ê nói thật tưởng lúc đấy sắp chết rồi tại uống bao nhiêu nước thì may có 1 nhóm mấy ông bơi ra cứu xong kéo 2 đứa vào bờ
k cs mấy ổng chắc 2 tụi t chầu tr r t kảm thấy t đã dùng ht may mắn cuộc đời t vào c lần đấy r,không có mấy ổng chắc 2 tụi tôi chầu trời rồi tôi cảm thấy tôi đã dùng hết may mắn cuộc đời tôi vào cái lần đấy rồi
Pov : Kể nhx lần may mắn nhất trg cuộc đời b T trc hồi 5 tuổi mẹ t kể là t bị sốt 38 độ rưỡi,Pov : Kể những lần may mắn nhất trong cuộc đời bạn Tôi trước hồi 5 tuổi mẹ tôi kể là tôi bị sốt 38 độ rưỡi
dzừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì t lên cơn co giật z là bsi chữa lun :))),vừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì tôi lên cơn co giật thế là bác sĩ chữa luôn :)))
"1 case là dzừa bị lay off, 1 case là vì chán.","1 case là vừa bị lay off, 1 case là vì chán."
Cả hai đều đg expect mức lương 18-20tr.,Cả hai đều đang expect mức lương 18-20 triệu.
Ngành thì nhỏ nên dễ dàng bt mức lương hiện tại của cb thấp hơn rất nh ↓,Ngành thì nhỏ nên dễ dàng biết mức lương hiện tại của các bạn thấp hơn rất nhiều ↓
"""Cứ deal lương cao như mức em muốn ik, điều tệ nhất cs thể là j nhỉ?""","""Cứ deal lương cao như mức em muốn đi, điều tệ nhất có thể là gì nhỉ?"""
“Nếu em mạnh thì em ko cần theo phe ai.,“Nếu em mạnh thì em không cần theo phe ai.
Nếu em yếu em cx ko cần theo phe ai.,Nếu em yếu em cũng không cần theo phe ai.
"Ng mạnh họ ko cần ng yếu, ng yếu càng ko thik ng mạnh lm thủ lĩnh.","Người mạnh họ không cần người yếu, người yếu càng không thích người mạnh làm thủ lĩnh."
Họ sẽ ko hãm hại em để tạo phốt cho phe khác nắm.,Họ sẽ không hãm hại em để tạo phốt cho phe khác nắm.
