
Câu gốc,Câu chuẩn hóa
"ce mik rủ nhau đi mua đồ tết ko","chị em mình rủ nhau đi mua đồ tết không"
"e mua bánh rồi cj cứ ngủ thêm đi nha","em mua bánh rồi chị cứ ngủ thêm đi nha"
"ace trong nhóm ai rảnh đi cf ko","anh chị em trong nhóm ai rảnh đi cf không"
"onl lướt FB xíu rồi đi ngủ mai làm sớm","trực tuyến lướt Facebook xíu rồi đi ngủ mai làm sớm"
"đag ở quán cf chán quá ai ra chơi ko","đang ở quán cf chán quá ai ra chơi không"
"đg bận sml sếp bắt làm lại báo cáo nè","đang bận sấp mặt sếp bắt làm lại báo cáo này"
"dg tính đi tắm thì đth kêu m qua đón","đang tính đi tắm thì điện thoại kêu mày qua đón"
"ms lmj đó ngta thấy m đi vs nyc nha","mới làm gì đó người ta thấy mày đi với người yêu cũ nha"
"cx may là hôm qua t kịp trú mưa","cũng may là hôm qua tao kịp trú mưa"
"cũg đg rảnh chiều nay qua m chơi đc ko","cũng đang rảnh chiều nay qua mày chơi được không"
"lói sạo m không tin được lòi đuôi rồi","nói sạo mày không tin được lòi đuôi rồi"
"ns chứ m mặc bộ này hợp lắm dth quá","nói chứ mày mặc bộ này hợp lắm dễ thương quá"
"said lời iu rồi mà bả ko rep t","nói lời yêu rồi mà bạn ấy không trả lời tao"
"unf ổng rồi mệt mỏi ba cái chuyện linh tinh","hủy kết bạn ông ấy rồi mệt mỏi ba cái chuyện linh tinh"
"FB sao nay ko load được video vậy b","Facebook sao nay không load được video vậy bạn"
"ig t để chế độ riêng tư rồi b nhé","Instagram tao để chế độ riêng tư rồi bạn nhé"
"tt hôm qua có clip tk đó hát hay ghê","Tiktok hôm qua có clip thằng đó hát hay ghê"
"xl m t chặn rồi ko nt được nữa","Zalo mày tao chặn rồi không nhắn tin được nữa"
"dép lào nay ai đổi avt đôi vs m đó","Zalo nay ai đổi ảnh đại diện đôi với mày đó"
"mess t đg lỗi tin nhắn ko load đc","Messenger tao đang lỗi tin nhắn không load được"
"fl kênh ytb này đi chuyên review đồ ăn","theo dõi kênh YouTube này đi chuyên review đồ ăn"
"sđt tk shop bữa m cho gọi ko đc","số điện thoại thằng shop bữa mày cho gọi không được"
"yt ko có mạng lướt chán phèo t ngủ đây","YouTube không có mạng lướt chán phèo tao ngủ đây"
"ytb tk đó bị sập kênh do vi phạm rồi","YouTube thằng đó bị sập kênh do vi phạm rồi"
"cmt stt bả lẹ đi m thả thính coi","bình luận trạng thái bạn ấy lẹ đi mày thả thính coi"
"bl ngta nói gì t ko qtam m ơi","bình luận người ta nói gì tao không quan tâm mày ơi"
"acc fb t bị khóa 30 ngày rồi m","tài khoản facebook tao bị khóa 30 ngày rồi mày"
