,text,target
0,ah tro b em ứng tyueenr ạ,anh cho bạn em ứng tuyển ạ
1,Cop để cho các cháu kiếm cơm 😂,Cô để cho các cháu kiếm cơm 😂
2,nếu ra chg muộn vấn là sv,nếu ra trường muộn vẫn là sinh viên
3,e 2k7 xvien ngành sư phạm ngữ văn a ơiii,em 2k7 sinh viên ngành sư phạm ngữ văn anh ơi
4,"Bn em .03 lm kế toán cty xuaqts nhập khẩu nhg tâm hồn xinh viên, mong ank để ý đến b em một chút ạ","Bạn em .03 làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
5,Em bt lm hết việc nhà ạ em đg có ý định hok thêm 1 truyên ngành nx,Em biết làm hết việc nhà ạ em đang có ý định học thêm 1 chuyên ngành nữa
6,ah nuôi nổi em nên thsi (8 năm ik hok) thì ib em nhé,anh nuôi nổi em lên thạc sĩ (8 năm đi học) thì ib em nhé
7,bọn em ạ,bọn em ạ
8,"C 95, svien lăm 10 đh tư bản ứng cử, nghiêm túc","Chị 95, sinh viên năm 10 đại học tư bản ứng cử, nghiêm túc"
9,Đủ đkien z thì cứ xếp hàng thui =))),Đủ điều kiện thế thì cứ xếp hàng thôi =)))
10,"lm kế toán cty xuất nhập khẩu nhg tâm hồn svien, mong ank để ý đến b em một chút ạ","làm kế toán công ty xuất nhập khẩu nhưng tâm hồn sinh viên, mong anh để ý đến bạn em một chút ạ"
11,em cựu sv có dko ạ 🙌🏻,em cựu sinh viên có được không ạ 🙌🏻
12,Đuổi n thì n ik lun shop ạ nên muốn nch nhẹ nhàng để cno bảo abn nhau cho e m l tsapj chung lm ăn,Đuổi nó thì nó đi luôn shop ạ nên muốn nói chuyện nhẹ nhàng để chúng nó bảo ban nhau cho em mình nó tập trung làm ăn
13,bé kia thì ph hc hành cho song,bé kia thì phải học hành cho xong
14,Duwar ok có khoá hả?,Cửa không có khoá hả?
15,Nói thẳng vs tk e zai là lếu thấy n dẫn c vớ vẩn đó về lần nx thì cút xéo,Nói thẳng với thằng em trai là nếu thấy nó dẫn con vớ vẩn đó về lần nữa thì cút xéo
16,zà khoá duwar lunnn khi ik ra ngoài ik em,và khoá cửa luôn khi đi ra ngoài đi em
17,"Đánh dhiaf cả nhà, chừ e zai e ra đc mà bé","Đánh chìa cả nhà, trừ em trai em ra được mà bé"
18,E gái m có mắng 2 đứa l r nhưng vẫn zị,Em gái mình có mắng 2 đứa nó rồi nhưng vẫn vậy
19,cắt tiền tri tiêu của em b,cắt tiền chi tiêu của em bạn
20,gọi công an xuống khai báo có ng đột nhập hpi pháp để có địa chỉ nhà nhỏ đó r trả về nơi sản xuất.,gọi công an xuống khai báo có người đột nhập phi pháp để có địa chỉ nhà nhỏ đó rồi trả về nơi sản xuất.
21,Để nâu n gài có bầu cinf khó giải quyết hơn.,Để lâu nó gài có bầu còn khó giải quyết hơn.
22,Bme mh k cho tiền tiêu linh tinh,Bố mẹ mình không cho tiền tiêu linh tinh
23,chỉ cuối tuần bé kiz ik hok về thì có xin mẹ mìh tiền ik ăn vs b 2 300 thì vẫn ok nhg nếu ik ăn uoongs yêu đương bt thì xẽ k có chuyện j xảy ar,chỉ cuối tuần bé kia đi học về thì có xin mẹ mình tiền đi ăn với bạn 2 300 thì vẫn ok nhưng nếu đi ăn uống yêu đương bình thường thì sẽ không có chuyện gì xảy ra
24,Ngày trc nhà e ms sây nhà xog nên cửa ch thể khoá được,Ngày trước nhà em mới xây nhà xong nên cửa chưa thể khoá được
25,trg ngõ nhà e lúc nào cx có ng và an ninh khá đảm bảo nên k có khoá cywar.,trong ngõ nhà em lúc nào cũng có người và an ninh khá đảm bảo nên không có khoá cửa.
26,H thì khoá cửa rồi nhg e dzai e bt chỗ để tría khoá nên vẫn vào đc,Giờ thì khoá cửa rồi nhưng em trai em biết chỗ để chìa khoá nên vẫn vào được
27,"Nhà c là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa n từ lâu r.","Nhà chị là còn hiền đấy, chứ nhà em là chửi thẳng mặt 2 đứa nó từ lâu rồi."
28,"Hoawxj là hkoas cửa nhốt chn trg p cả ngày, ko cho ra ngozif uống nc ăn uống tắm ruwqr.","Hoặc là khoá cửa nhốt chúng nó trong phòng cả ngày, không cho ra ngoài uống nước ăn uống tắm rửa."
29,"Lấu cơm thì cắt phần 2 đứa n ik, cái tội đưa c ny về và chỉ rj rú trg p","Nấu cơm thì cắt phần 2 đứa nó đi, cái tội đưa con ny về và chỉ ru rú trong phòng"
30,Dduooif c ranh kia k đc thì nhà mh đuổi cả 2 cno nka,Đuổi con ranh kia không được thì nhà mình đuổi cả 2 chúng nó nha
31,đến lúc k có nhà thì em b tự bk chọn gđinh hay trọn gái ý mà,đến lúc không có nhà thì em bạn tự biết chọn gia đình hay chọn gái ý mà
32,hét hét ảnh abor cgai không ai như vậy t cug gửi lời xl rồi nm dos vẻ ảnh k uqan taam,hét hét anh bảo con gái không ai như vậy tớ cũng gửi lời xin lỗi rồi nhưng mà có vẻ anh không quan tâm
33,rùi ảnh còn ddagn tìm cách lm tnao để t k thik ảnh nx ocw huhu chri t cách zới tht sự t thk ảnh nhiều lắm,rồi anh còn đang tìm cách làm thế nào để tớ không thích anh nữa cơ huhu chỉ tớ cách với thật sự tớ thích anh nhiều lắm
34,hơn 2 năm r ảnh cx sắp nên cấp 3 nx cug khá nh ng để ý t ko mupons mất ảnh đâuu cwuus t cộng đồng Threads ơi😭,hơn 2 năm rồi anh cũng sắp lên cấp 3 nữa cũng khá nhiều người để ý tớ không muốn mất anh đâu cứu tớ cộng đồng Threads ơi😭
35,Mn thử kể chuyenej tình đơn phương/ tình yêu tuổi hc trò của mn ik Tôi tò mò muốn nghe!,Mọi người thử kể chuyện tình đơn phương/ tình yêu tuổi học trò của mọi người đi Tôi tò mò muốn nghe!
36,TÔI NHỚ ĐC MẶT MÁC TIN R?,TÔI NHỚ ĐƯỢC MẶT MÁC TIN RỒI?
37,"zô cmt trủ tis toàn bị fan martin, fan james lừa.","vô cmt chủ tus toàn bị fan martin, fan james lừa."
38,Cười vl =))))),Cười vl =)))))
39,"Thì như ông t, đánh vk đập cn trửi chqus còn ik khpe như thể chiến tích mặc dù ng nghe họ tởm ra mặt","Thì như ông tôi, đánh vợ đập con chửi cháu còn đi khoe như thể chiến tích mặc dù người nghe họ tởm ra mặt"
40,bố mh cx z tưởng lm thei ý ổng là ngầu nà oai nhg m với mẹ vẫn lunnn bậc lại ....,bố mình cũng thế tưởng làm theo ý ổng là ngầu là oai nhưng mình với mẹ vẫn luôn bật lại .
41,M muốn mẹ giải thaots nhg c và ank mik lại không muốn gđ tan arx 🙄 thấy mệt mỏi tht,Mình muốn mẹ giải thoát nhưng chị và anh mình lại không muốn gia đình tan rã 🙄 thấy mệt mỏi thật
42,"It's time to change 👍 z kỷ 21, chục giá trị thay đổi.","It's time to change 👍 thế kỷ 21, trục giá trị thay đổi."
43,Cta k donf cần một za đình có đàn ông gia trưởng nx,Chúng ta không còn cần một gia đình có đàn ông gia trưởng nữa
44,"đồng czmr, thw 🫂","đồng cảm, thương 🫂"
45,"Chuyện hài ngày Tết: Bố tôi ik kể zới họ hàng,bạn bè,hàng sóm về việc ông ấy đã tát t và r ai cũg bt rằng ông ấy gia truwowgnr.","Chuyện hài ngày Tết: Bố tôi đi kể với họ hàng,bạn bè,hàng xóm về việc ông ấy đã tát tôi và rồi ai cũng biết rằng ông ấy gia trưởng."
46,bố tui là cn 3 nhg do bzcs cả thì do cãi nhau vs bà nên mn cx coi như kco,bố tui là con 3 nhưng do bác cả thì do cãi nhau với bà nên mọi người cũng coi như không có
47,còn bác 2 with bố tui siêu gia trưởng lun,còn bác 2 với bố tui siêu gia trưởng luôn
48,"gắng đến lúc ik hok,đi lm để thoát khỏi căn nhà ấy htoii","gắng đến lúc đi học,đi làm để thoát khỏi căn nhà ấy thôi"
49,cực kì ghét,cực kì ghét
50,Tht sự ph ns rqwngf tôi rất ghét nhx ông bô gai trưởng bởi vì tôi cx có một ng xha gai trưởng 💔🥀,Thật sự phải nói rằng tôi rất ghét những ông bô gia trưởng bởi vì tôi cũng có một người cha gia trưởng 💔🥀
51,yeah đá vía có bố gia chưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰,yeah đá vía có bố gia trưởng (trưởng nam miền bắc) nhé ạ ✌️✌️🥰
52,"giống kiểu địa chủ xưa,thấy địa zị bị đe doạ là dùng bạo lực, qiyeenf lực để trấn áp liền","giống kiểu địa chủ xưa,thấy địa vị bị đe doạ là dùng bạo lực, quyền lực để trấn áp liền"
53,ai bt sau nưng ngta bàn tán j,ai biết sau lưng người ta bàn tán gì
54,t muốn khuyên mẹ ni hôn lắm rùi đấy,tôi muốn khuyên mẹ li hôn lắm rồi đấy
55,Gia trưởng hay khoe mắng chửi vk c trc mặt ngk để tỏ ra mk là ng đứng teeen có uy quyền,Gia trưởng hay khoe mắng chửi vợ con trước mặt người khác để tỏ ra mình là người đứng trên có uy quyền
56,thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nka là mấy ổng sẽ tự cho rằng vị ttis của mh đg bị lung lay,thử đóng góp ý kiến nhẹ nhàng để thay đổi cái nhà là mấy ổng sẽ tự cho rằng vị trí của mình đang bị lung lay
57,đối phương đg đe rọa và nổi khùng oeen,đối phương đang đe dọa và nổi khùng lên
58,"Đm thw bn dl, t đã căm thù bố t vì cái tánh đó rùi nhg ko ngờ còn có nh hoàn cảnh khốn đốn hơn, đồng cảm 🫂","Đm thương bạn vl, tôi đã căm thù bố tôi vì cái tánh đó rồi nhưng không ngờ còn có nhiều hoàn cảnh khốn đốn hơn, đồng cảm 🫂"
59,"t từng p uống thuốc ng.ủ (nghiêm túc, t bị bệnh và đây là thuốc kê đơn thui nhe).","tôi từng phải uống thuốc ngủ (nghiêm túc, tôi bị bệnh và đây là thuốc kê đơn thôi nhe)."
60,T nghe liwif bsi uống thử trc 2 viên/lần/ngày xog đêm hôm đó t bị s.ốc thuốc nhẹ.,Tôi nghe lời bác sĩ uống thử trước 2 viên/lần/ngày xong đêm hôm đó tôi bị sốc thuốc nhẹ.
61,Hên cửu huyền nhà t thấy t lueownj dưới âm phủ nên túm t lại r đá đí.t t zề vội 🙏🙏🙏🙏🙏 mqy là kh bị lms,Hên cửu huyền nhà tôi thấy tôi lượn dưới âm phủ nên túm tôi lại rồi đá đí.t tôi về vội 🙏🙏🙏🙏🙏 may là không bị làm sao
62,"Cnay nà may nhg trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuoori, mk chuyện môn chọc cn mepf ở nhà.","Cái này là may nhưng trăm phần tội ngu :))) Mẹ kể hồi còn nhỏ, chắc khoảng 1 tuổi, mình chuyên môn chọc con mèo ở nhà."
63,"Cứ lấy ddyooi n cho vào ống chỉ, bữa đó n khùng lên quay sang capf xho một phát, mẹ bảo chỉ còn mấy mm nà zô c mắt r.","Cứ lấy đuôi nó cho vào ống chỉ, bữa đó nó khùng lên quay sang cào cho một phát, mẹ bảo chỉ còn mấy mm là vô con mắt rồi."
64,Mấy cậu zì mỗi lần nghe lại hay dhocj là suýt nx là thành cướp biển vùng Caribbean rùi 🤣,Mấy cậu dì mỗi lần nghe lại hay chọc là suýt nữa là thành cướp biển vùng Caribbean rồi 🤣
65,chana để nổi keen mặt nc nma bị c bé đấy kéo nên t cjws chìm xuống.,chân để nổi lên mặt nước nhưng mà bị con bé đấy kéo nên tôi cứ chìm xuống.
66,Ê ns tht tưởng lđấy sắp chết r tại uống bnh nc thì amy ocs 1 nhóm mấy ô bơi da cứu xog kéo 2 đứa vào bờ,Ê nói thật tưởng lúc đấy sắp chết rồi tại uống bao nhiêu nước thì may có 1 nhóm mấy ông bơi ra cứu xong kéo 2 đứa vào bờ
67,k có mấy ổng chắc 2 tụi t trầu tr r t acmr thấy t đã dùng hết may mắn cuộc đời t vào c laafn đấy r,không có mấy ổng chắc 2 tụi tôi chầu trời rồi tôi cảm thấy tôi đã dùng hết may mắn cuộc đời tôi vào cái lần đấy rồi
68,Pvo : Kể nhx lần may mắn nhất trg cuộc đời b T trc hồi 5 tuooir mẹ t kể paf t bị xốt 38 độ rưỡi,Pov : Kể những lần may mắn nhất trong cuộc đời bạn Tôi trước hồi 5 tuổi mẹ tôi kể là tôi bị sốt 38 độ rưỡi
69,vừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì t lên cơn oc giật z paf bsi chữa lunnn :))),vừa vào đến bệnh viện ( ngồi cạnh trưởng khoa ) thì tôi lên cơn co giật thế là bác sĩ chữa luôn :)))
70,"1 case là dừa bị lay off, 1 case là vì chán.","1 case là vừa bị lay off, 1 case là vì chán."
71,Cả hai dedeuf đag expect mức nương 18-20tr.,Cả hai đều đang expect mức lương 18-20 triệu.
72,Ngành thì nhỏ nên dễ dàng bt mức lương hiện tại ucar các bn thấp hơn rất nh ↓,Ngành thì nhỏ nên dễ dàng biết mức lương hiện tại của các bạn thấp hơn rất nhiều ↓
73,"""Cứ deal nương cao như mức em muốn ik, điều tệ nhất có thể là j nhỉ?""","""Cứ deal lương cao như mức em muốn đi, điều tệ nhất có thể là gì nhỉ?"""
74,“Nếu em mạnh thì em ko cần theo peh ai.,“Nếu em mạnh thì em không cần theo phe ai.
75,Nếu em yếu em cx ko cần theo phe ia.,Nếu em yếu em cũng không cần theo phe ai.
76,"Ng mạnh họ ko cần ng yếu, ng yếu càng ko thixhs ng mạnh lm thủ nĩnh.","Người mạnh họ không cần người yếu, người yếu càng không thích người mạnh làm thủ lĩnh."
77,Họ sẽ kp hãm hại em để tạo phốt cho phe khác nắm.,Họ sẽ không hãm hại em để tạo phốt cho phe khác nắm.
78,Em chỉ có thể an toàn nếu em chung lập.”,Em chỉ có thể an toàn nếu em trung lập.”
79,ciwowif dl cn vợ,cười vl con vợ
80,"2k2, 2k3 ik lm ĐÒI LƯƠNG 18 - 20tr nà có BỊ ẢO kh?","2k2, 2k3 đi làm ĐÒI LƯƠNG 18 - 20 triệu là có BỊ ẢO không?"
81,Topic: kể về một ng có mindset đỉnh nhất mà b từng gặp,Topic: kể về một người có mindset đỉnh nhất mà bạn từng gặp
82,Hôm r khi lướt Threads,Hôm rồi khi lướt Threads
83,mk cso đọc dc câu chuyện của một cj HR phỏng vấn 2 ứng viên gen Z (sinh lăm 2002 & 2003) cho vị trí Junior,mình có đọc được câu chuyện của một chị HR phỏng vấn 2 ứng viên gen Z (sinh năm 2002 & 2003) cho vị trí Junior
84,cả hai ddeeuf ms tn có kn trainee 3 tháng đi lm công ty kn dưới 6 tháng dà muốn nhảy.,cả hai đều mới tốt nghiệp có kinh nghiệm trainee 3 tháng đi làm công ty kinh nghiệm dưới 6 tháng và muốn nhảy.
85,Đm điều tệ nhất nà đăng lên threads ạ,Đm điều tệ nhất là đăng lên threads ạ
