,text,target,loss_by_words,loss_by_sentences,max_word_loss
3642,"Dưới đây là bản dịch chuẩn xác từ dòng ""Mình sắp cs khách..."" đến dòng ""...hnao quậy là bành ki ó.""",tuân thủ 100% các quy tắc BARTpho:,"<s>: 0.0149, ▁tu: 17.8053, ân: 4.6415, ▁thủ: 2.7136, ▁100%: 9.3723, ▁các: 6.3923, ▁quy: 3.7174, ▁tắc: 1.4832, ▁B: 7.9941, ART: 11.9699, pho: 13.3874, :: 7.4972, </s>: 6.6203",7.2007,17.8053
1746,nại phại chuận,lại phải chuẩn,"<s>: 0.0149, ▁lại: 16.6471, ▁phải: 1.1531, ▁chuẩn: 9.1827, </s>: 1.7583",5.7512,16.6471
8335,chài ơi cuti dạy chài 💗,trời ơi cute vậy trời 💗,"<s>: 0.015, ▁trời: 10.6676, ▁ơi: 0.0162, ▁cute: 4.4568, ▁vậy: 15.3911, ▁trời: 12.0891, ▁: 7.6004, <unk>: 0.0744, </s>: 0.0768",5.5986,15.3911
7782,Tuỳ ng tuỳ TH tuỳ cách ns.,Tùy người tùy trường hợp tùy cách nói.,"<s>: 0.0154, <unk>: 11.226, ▁người: 7.4727, <unk>: 9.6285, ▁trường: 6.5561, ▁hợp: 8.092, <unk>: 7.1309, ▁cách: 7.6478, ▁nói: 0.0441, .: 0.1058, </s>: 0.0966",5.2742,11.226
1792,khi b bị sơn k hóaa,khi bạn bị Sơn.K hóa,"<s>: 0.0143, ▁khi: 0.1203, ▁bạn: 0.0556, ▁bị: 0.0983, ▁Sơn: 8.9041, .: 10.8986, K: 15.3852, ▁hóa: 5.4521, </s>: 3.1153",4.8938,15.3852
7950,:))) thờ rét ci ti,:))) Threads city,"<s>: 0.0131, <unk>: 0.8316, ▁Thread: 15.0496, s: 6.8304, ▁city: 6.3876, </s>: 0.236",4.8914,15.0496
7293,tủi ăn tủi lớn,tuổi ăn tuổi lớn,"<s>: 0.0153, ▁tuổi: 13.4215, ▁ăn: 1.7598, ▁tuổi: 12.1719, ▁lớn: 0.0124, </s>: 0.1012",4.5803,13.4215
7869,uh sngu htrc dzừa gap xg,uh Song Ngư hôm trước vừa gặp xong,"<s>: 0.0152, ▁uh: 0.0038, ▁Song: 12.8509, ▁Ng: 0.4111, ư: 3.4408, ▁hôm: 11.0554, ▁trước: 0.8554, ▁vừa: 5.0938, ▁gặp: 13.5709, ▁xong: 1.1742, </s>: 0.0593",4.4119,13.5709
9007,"""chi khen ma chi di collab voi nguoi dan ba khac""","""chỉ khen mà chị đi collab với người đàn bà khác""","<s>: 0.0149, ▁"": 0.0683, ch: 3.0907, ỉ: 7.8464, ▁khen: 0.004, ▁mà: 2.2549, ▁chị: 3.2037, ▁đi: 2.1313, ▁colla: 0.0, b: 0.1033, ▁với: 13.0403, ▁người: 6.6994, ▁đàn: 8.9245, ▁bà: 2.0783, ▁khác: 13.6433, "": 8.4523, </s>: 0.1047",4.2153,13.6433
1078,chiec xe dap ngay nao e van dap loi l,chiếc xe đạp ngày nào em vẫn đạp lòi lồn,"<s>: 0.0163, ▁chiếc: 10.3398, ▁xe: 0.0286, ▁đạp: 5.9211, ▁ngày: 13.2427, ▁nào: 0.6243, ▁em: 0.0576, ▁vẫn: 13.2085, ▁đạp: 6.4299, ▁l: 8.11, ò: 3.914, i: 0.3755, ▁lồ: 0.0937, n: 0.0432, </s>: 0.0842",4.166,13.2427
